Field,Label,Value
id,Dataset ID,dc663585-4b6f-46ae-a6d6-b2f3e4ea32b5
title,Title of Dataset,India - Food Prices
name,Dataset URL,wfp-food-prices-for-india
notes,Description,"This dataset contains Food Prices data for India, sourced from the World Food Programme Price Database. The World Food Programme Price Database covers foods such as maize, rice, beans, fish, and sugar for 98 countries and some 3000 markets. It is updated weekly but contains to a large extent monthly data. The data goes back as far as 1992 for a few countries, although many countries started reporting from 2003 or thereafter."
dataset_source,Source,"DEPARTMENT OF CONSUMER AFFAIRS, FPMA, Food and Public Distribution, Government of India, Ministry of Consumer Affairs, Ministry of Consumer Affairs via FAO: GIEWS"
organization,Contributor,WFP - World Food Programme
dataset_date,Reference Period,[1994-01-15T00:00:00 TO 2023-07-15T23:59:59]
last_modified,Updated,2024-01-28T11:57:30.292419
data_update_frequency,Expected Update Frequency,Every month
groups,Location,India
license_title,License,Creative Commons Attribution for Intergovernmental Organisations
methodology,Methodology,Registry
methodology_other,Define Methodology,
caveats,Caveats/Comments,"Although the frequency of updates is set to every month, updates may occur more or less frequently"
tags,Tags,"economics, food security, hxl, indicators, markets"
resource_1_created,Created,2021-08-27T02:15:37.722690
resource_1_description,Description,Food prices data with HXL tags
resource_1_format,File Format,CSV
resource_1_download_url,Download URL,https://data.humdata.org/dataset/dc663585-4b6f-46ae-a6d6-b2f3e4ea32b5/resource/3b1ff071-6b01-4998-aa62-2f3efb5d4888/download/wfp_food_prices_ind.csv
resource_1_id,Resource ID,3b1ff071-6b01-4998-aa62-2f3efb5d4888
resource_1_last_modified,Updated,2024-01-28T11:57:30.177161
resource_1_metadata_modified,Metadata Updated,2024-01-28T11:57:33.987274
resource_1_microdata,Microdata,False
resource_1_dataset_id,Dataset ID,dc663585-4b6f-46ae-a6d6-b2f3e4ea32b5
resource_1_resource_type,Resource Type,file.upload
resource_1_name,Resource Name,India - Food Prices
resource_1_mimetype,MIME Type,
resource_1_size,Size,15.7M
resource_2_created,Created,2021-08-27T02:15:37.722695
resource_2_description,Description,Food prices QuickCharts data with HXL tags
resource_2_format,File Format,CSV
resource_2_download_url,Download URL,https://data.humdata.org/dataset/dc663585-4b6f-46ae-a6d6-b2f3e4ea32b5/resource/fbd8344d-b0a8-4536-99a3-a8ca73ba9730/download/wfp_food_prices_ind_qc.csv
resource_2_id,Resource ID,fbd8344d-b0a8-4536-99a3-a8ca73ba9730
resource_2_last_modified,Updated,2024-01-28T11:57:30.292419
resource_2_metadata_modified,Metadata Updated,2024-01-28T11:57:33.007824
resource_2_microdata,Microdata,False
resource_2_dataset_id,Dataset ID,dc663585-4b6f-46ae-a6d6-b2f3e4ea32b5
resource_2_resource_type,Resource Type,file.upload
resource_2_name,Resource Name,QuickCharts: India - Food Prices
resource_2_mimetype,MIME Type,
resource_2_size,Size,63.5K
